bioproject_id,source,study_title,protein_target,target_organism,paper_doi,paper_pmid,n_rounds_declared,abstract
PRJNA315881,seed,Interleukin 10 receptor alpha chain (IL-10RA) Raw sequence reads,IL-10RA,,10.1093/nar/gkv308,25870409,5,
PRJNA321551,seed,,CCR7,,10.1016/j.cels.2016.07.003,27467247,9,
SRP217092,seed,Novel aptamers selected on live cells for specific recognition of triple-negative breast cancer,TNBC cell-surface (unidentified),,,0,15,
PRJNA218402,seed,,Thrombin,,10.1371/journal.pone.0082897,24358269,4,
PRJDB40017,ena,HT-SELEX against recombinant rhNR4A1,,,,,,
PRJNA615076,ena,HT-SELEX against E. faecalis,,,,,,
PRJDB9110,ena,HT-SELEX against human transglutaminase 2,,,,,,
PRJDB19137,ena,HT-SELEX against reombinant mouse ST2,,,,,,
PRJDB19139,ena,HT-SELEX against reombinant human LH,,,,,,
PRJDB9111,ena,HT-SELEX against human intergrin alphaV beta3,,,,,,
PRJDB19098,ena,HT-SELEX against reombinant human FGF-9,,,,,,
PRJDB40016,ena,HT-SELEX against recombinant RBD-His protein,,,,,,
PRJEB29730,ena,HT-SELEX dataset of Ciona robusta transcription factors,,,,,,
PRJDB19141,ena,HT-SELEX against reombinant human LH with 8% doped library,,,,,,
PRJEB38961,ena,HT-SELEX of recombinant C2H2 zinc finger domain of Sall4,,,,,,
PRJEB51212,ena,HT-SELEX of recombinant C2H2 zinc finger domains of Sall4,,,,,,
PRJDB19138,ena,HT-SELEX against reombinant human FGF-9 with 30mer library,,,,,,
PRJDB19140,ena,HT-SELEX against reombinant human LH with 3% doped library,,,,,,
PRJEB48966,ena,"HT-SELEX and genomic HT-SELEX rawdata for experiments performed with 4 C2H2 zinc finger transcription factors for the study: "" Alternate binding modes of human C2H2 TFs""",,,,,,
PRJEB75580,ena,HT-SELEX data for ThPOK (ZBTB7B) target specificity for wild type and K360N mutant,,,,,,
PRJEB51473,ena,HT-SELEX of wild-type and mutated versions of recombinant DNA binding domain of SALL4,,,,,,
PRJEB61115,ena,HT-SELEX data for: GHT-SELEX demonstrates unexpectedly high intrinsic sequence specificity of human transcription factors,,,,,,
PRJNA957781,ena,SELEX-seq of AP1 homodimer,,,,,,
PRJNA1113703,ena,FOXC2 pH-dependent SELEX-seq,,,,,,
PRJNA360902,ena,Ciona robusta SELEX-seq dataset,,,,,,
PRJNA379022,ena,Androgen and glucocorticoid receptor SELEX-seq libraries,,,,,,
PRJNA741127,ena,"DNA Binding Specificities of Fkh1, Fkh2, Hcm1, and Fhl1 Revealed by SELEX-seq",,,,,,
PRJNA1244796,ena,DNA bendability regulates transcription factor binding to nucleosomes [PIONEAR-seq and SELEX-seq],,,,,,
PRJNA210965,ena,An improved SELEX-Seq strategy for characterizing DNA-binding specificity of transcription factor: NF-?B as an example,,,,,,
PRJNA1061493,ena,Sensing levofloxacin with an RNA aptamer as bioreceptor,,,,,,
PRJNA1376488,ena,High-throughput sequencing data from four systematic evolution of ligands by exponential enrichment (SELEX) rounds,,,,,,
PRJNA729962,ena,DNA protein interactome for Nuclear Receptor proteins,,,,,,
PRJNA1013173,ena,Identify aptamers binding human PD-L1 protein by SELEX,,,,,,
PRJNA633039,ena,Structure of SRSF1 RRM1 bound to RNA reveals an unexpected pendular/bimodal mode of interaction and explains its involvement in SMN1 exon7 splicing,,,,,,
PRJNA547810,ena,Systematic profiling of in vitro binding affinity and endonuclease activity of CRISPR enzymes,,,,,,
PRJNA86771,ena,Homo sapiens High Throughput Sequencing,,,,,,
PRJNA221564,ena,Overlapping and distinct functions of CstF64 and CstF64t in mammalian mRNA 3’ processing,,,,,,
PRJNA1091700,ena,PAM-Adjacent DNA Flexibility Tunes CRISPR-Cas12a Off-Target Binding,,,,,,
PRJNA830749,ena,The use of high-affinity polyhistidine binders as masking probes for the selection of an NDM-1 specific aptamer,,,,,,
PRJNA1395820,ena,Magnetic field-assisted SELEX for cobalt-binding aptamers,,,,,,
DRP005780,sra,HT-SELEX against human transglutaminase 2,,,,,,
DRP005781,sra,HT-SELEX against human intergrin alphaV beta3,,,,,,
DRP012515,sra,HT-SELEX against reombinant human FGF-9,,,,,,
DRP012519,sra,HT-SELEX against reombinant mouse ST2,,,,,,
DRP012520,sra,HT-SELEX against reombinant human FGF-9 with 30mer library,,,,,,
DRP012521,sra,HT-SELEX against reombinant human LH,,,,,,
DRP012517,sra,HT-SELEX against reombinant human LH with 3% doped library,,,,,,
DRP012514,sra,HT-SELEX against reombinant human LH with 8% doped library,,,,,,
DRP016907,sra,HT-SELEX against recombinant RBD-His protein,,,,,,
DRP016908,sra,HT-SELEX against recombinant rhNR4A1,,,,,,
ERP010942,sra,We present the first genome-scale analysis of the effect of CpG methylation on DNA-binding of TFs.,,,,,,
ERP146211,sra,HT-SELEX data for: GHT-SELEX demonstrates unexpectedly high intrinsic sequence specificity of human transcription factors,,,,,,
ERP161128,sra,Genomic HT-SELEX data for: GHT-SELEX demonstrates unexpectedly high intrinsic sequence specificity of human transcription factors,,,,,,
ERP160152,sra,HT-SELEX data for ThPOK (ZBTB7B)  target specificity for wild type and K360N mutant,,,,,,
ERP016411,sra,"Additional sequencing coverage for the study by Jolma et al 2013, “DNA-binding specificities of human Transcription factors. This new deeper sequencing data has been used in the publication ""Transcription factor family-specific DNA shape readout revealed by quantitative specificity models”",,,,,,
